"lance","camp","sector","validez","lat","long","prof","talla","sexo","numero"
5,"N84","1C",1,42.1358,-9.3591,247,27,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,14,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,15,"1",2
8,"N84","1B",1,42.1158,-9.0509,128,15,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,22,"1",2
8,"N84","1B",1,42.1158,-9.0509,128,23,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,26,"1",2
8,"N84","1B",1,42.1158,-9.0509,128,27,"1",2
8,"N84","1B",1,42.1158,-9.0509,128,28,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,29,"1",2
8,"N84","1B",1,42.1158,-9.0509,128,30,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,30,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,31,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,31,"2",2
8,"N84","1B",1,42.1158,-9.0509,128,32,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,32,"2",3
8,"N84","1B",1,42.1158,-9.0509,128,33,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,34,"1",1
8,"N84","1B",1,42.1158,-9.0509,128,34,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,35,"2",1
8,"N84","1B",1,42.1158,-9.0509,128,43,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,20,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,20,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,25,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,26,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,27,"2",2
9,"N84","1C",1,42.355,-9.3192,253.5,28,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,29,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,29,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,30,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,31,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,31,"2",2
9,"N84","1C",1,42.355,-9.3192,253.5,32,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,33,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,33,"2",3
9,"N84","1C",1,42.355,-9.3192,253.5,34,"1",3
9,"N84","1C",1,42.355,-9.3192,253.5,34,"2",5
9,"N84","1C",1,42.355,-9.3192,253.5,35,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,35,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,36,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,37,"1",2
9,"N84","1C",1,42.355,-9.3192,253.5,37,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,41,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,42,"1",1
9,"N84","1C",1,42.355,-9.3192,253.5,42,"2",1
9,"N84","1C",1,42.355,-9.3192,253.5,46,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,20,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,24,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,24,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,27,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,28,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,28,"2",3
11,"N84","1C",1,42.505,-9.3834,268.5,29,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,30,"1",3
11,"N84","1C",1,42.505,-9.3834,268.5,30,"2",3
11,"N84","1C",1,42.505,-9.3834,268.5,31,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,31,"2",3
11,"N84","1C",1,42.505,-9.3834,268.5,32,"1",2
11,"N84","1C",1,42.505,-9.3834,268.5,32,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,33,"1",3
11,"N84","1C",1,42.505,-9.3834,268.5,33,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,34,"1",4
11,"N84","1C",1,42.505,-9.3834,268.5,34,"2",2
11,"N84","1C",1,42.505,-9.3834,268.5,35,"1",1
11,"N84","1C",1,42.505,-9.3834,268.5,35,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,36,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,39,"2",1
11,"N84","1C",1,42.505,-9.3834,268.5,41,"1",1
16,"N84","1C",1,42.7725,-9.5467,287.5,21,"2",1
16,"N84","1C",1,42.7725,-9.5467,287.5,25,"1",1
16,"N84","1C",1,42.7725,-9.5467,287.5,25,"2",1
16,"N84","1C",1,42.7725,-9.5467,287.5,26,"1",2
16,"N84","1C",1,42.7725,-9.5467,287.5,27,"1",1
16,"N84","1C",1,42.7725,-9.5467,287.5,28,"1",1
16,"N84","1C",1,42.7725,-9.5467,287.5,28,"2",1
16,"N84","1C",1,42.7725,-9.5467,287.5,29,"1",1
16,"N84","1C",1,42.7725,-9.5467,287.5,29,"2",4
